"PRECIPITATION.mm.","WINDDIR.deg.","WINDDPEED.m.s.","PARTICULAS.microg.m3.","PL2","PL3","X","Y"
0.5,130.89,1.62,20.79,"UH","M",-1.06046638953456,1.22466772500443
0.1,91.99,1.76,18.12,"UH","M",-0.0611161224385882,1.75893854911935
1.3,138.32,1.7,20.3,"UH","M",-1.26967958818697,1.13044847000709
0.4,155.44,1.76,17.52,"UH","M",-1.60076665102755,0.731536826795505
0,167.18,2.07,13.71,"H","M",-2.01839895695763,0.459309972189107
0.1,97.23,1.6,18.29,"UH","M",-0.201364298244834,1.58727830558865
1.9,80.97,1.61,20.68,"UH","M",0.252692069525725,1.59004613706609
0.5,126.02,1.37,18.4210277957337,"UH","M",-0.80565263485426,1.10807212398489
0.2,141.72,1.39,21.66,"UH","M",-1.09113980631292,0.861112027020529
0,126.63,1.79,17.63,"UH","M",-1.06799481396098,1.43648427675087
8,147.08,1.22,19.55,"UH","M",-1.02410485587598,0.663030349359091
22.8,162.14,1.36,19.25,"UH","M",-1.29445989641309,0.417101398437127
0,31.7,1.53,19.63,"UH","M",1.3017409974188,0.80397162614057
0.2,156.72,1.6,14.05,"H","M",-1.46973503490009,0.632359808326907
0,187.61,2.14,8.72,"H","L",-2.12115182600822,-0.28339889029776
0,196.05,2.89,8.2,"H","L",-2.77735008592505,-0.799015957420205
0,202.7,3.54,13,"H","M",-3.26578483667511,-1.36610738982809
0,166.49,2.82,17.52,"UH","M",-2.74196823595343,0.658794499842262
0.4,53.31,1.7,19.74,"UH","M",1.01572484276307,1.36319589340415
5.8,170.93,1.48,19.77,"UH","M",-1.46149479449212,0.233308734668118
0,165.86,2.23,12.33,"H","M",-2.1624347989926,0.544771273201734
0,70.87,1.78,22.77,"UH","M",0.583328478188139,1.68170386410174
0.1,169.96,1.73,24.31,"UH","M",-1.7035072708577,0.301600693193765
0.2,168.6,1.76,19.41,"UH","M",-1.72527726733423,0.347876919067262
0.9,117.68,1.58,22.61,"UH","M",-0.733962071636857,1.39917821502428
0.9,69.48,1.76,22.55,"UH","M",0.616940403536616,1.64832780067682
0.1,198.41,2.19,17.86,"UH","M",-2.07791778423376,-0.691634066515709
0,189.96,2.71,16.86,"UH","M",-2.66915689165551,-0.468723252813292
0,92.26,1.86,18.03,"UH","M",-0.0733476371599619,1.85855323413752
1.5,121.54,1.88,15.24,"UH","M",-0.983416141836038,1.60227734552303
2.9,87.33,1.37,24.28,"UH","M",0.0638192946622999,1.36851273199368
0,55.65,1.71,22.07,"UH","M",0.964861927162111,1.41178662039028
0,120.54,1.97,21.89,"UH","M",-1.00103534662235,1.69671100509564
7,177.98,1.36,20.56,"UH","M",-1.35915487411825,0.0479377529782601
16.3,138.4,1.55,16.95,"UH","M",-1.15908704027272,1.02908562961097
0,187.3,2.42,12.83,"H","M",-2.40038455106787,-0.307496352815268
0,163.7,2.4,9.69,"H","L",-2.30353270074045,0.673600101409891
7.1,139.85,1.71,12.97,"H","M",-1.30705389995708,1.10259244628602
9.2,94.51,1.41,23.04,"UH","M",-0.110872656096863,1.40563411104385
18.9,108.74,1.19,18.34,"UH","M",-0.382316286008057,1.12691359804246
