FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431
01-09-02,47.40,19.39,93.15,142.69,49.60,26.69,0.00,-0.18,-1.18
01-10-02,47.40,35.29,155.10,188.31,149.10,27.37,1.12,0.25,0.57
01-11-02,47.40,57.93,121.10,194.76,156.40,27.33,0.41,0.31,0.70
01-12-02,47.40,37.88,105.10,171.54,77.90,27.39,0.07,0.10,-0.68
01-01-03,65.12,23.22,37.50,282.00,68.50,27.39,-1.36,1.29,-0.85
01-02-03,69.36,17.96,46.80,92.70,50.70,27.64,-1.16,-0.82,-1.16
01-03-03,67.59,24.41,87.00,285.60,68.90,28.24,-0.31,1.33,-0.84
01-04-03,201.48,65.84,138.50,270.00,64.60,28.91,0.77,1.16,-0.92
01-05-03,187.74,139.44,135.30,498.90,204.30,28.65,0.71,3.71,1.54
01-06-03,311.11,56.34,96.60,218.60,124.40,28.11,-0.11,0.58,0.14
01-07-03,308.40,60.98,71.90,350.10,129.10,27.76,-0.63,2.05,0.22
01-08-03,49.29,28.77,30.90,293.70,57.10,27.41,-1.50,1.42,-1.05
01-09-03,47.81,27.72,59.60,153.20,84.20,27.36,-0.89,-0.15,-0.57
01-10-03,41.48,28.78,85.20,173.80,58.80,27.54,-0.35,0.08,-1.02
01-11-03,23.25,27.48,138.00,138.50,123.90,27.63,0.76,-0.31,0.13
01-12-03,115.39,47.00,98.70,152.20,106.10,27.71,-0.07,-0.16,-0.19
01-01-04,156.92,14.65,55.90,24.70,56.90,27.63,-0.97,-1.58,-1.05
01-02-04,126.61,13.80,117.20,124.30,62.50,27.48,0.33,-0.47,-0.95
01-03-04,44.32,44.85,99.40,212.30,179.50,27.37,-0.05,0.51,1.11
01-04-04,60.75,49.14,174.10,272.70,155.10,27.66,1.53,1.19,0.68
01-05-04,58.87,46.36,126.70,536.70,110.50,27.88,0.53,4.14,-0.11
01-06-04,216.43,128.84,120.20,484.10,251.40,27.41,0.39,3.55,2.37
01-07-04,133.53,55.64,74.50,357.50,115.70,26.77,-0.58,2.13,-0.02
